순위,기관,참여자(명),목표(명),참여율(%),참여율점수,평균점수(%),누적점수(=참여율점수+평균점수),점수합계(%),최근 종료
1,사업총괄,17,36,47.2,5.4,97.8,103.2,1662,2026-03-11 1:43
2,강북본부,107,221,48.4,5.5,96.2,101.7,10295,2026-03-11 8:56
3,품질지원단,68,137,49.6,5.5,95.8,101.3,6513,2026-03-11 10:49
4,감사실,1,0,,,100,100,100,2026-03-09 0:05
5,서부본부,80,277,28.9,5.3,94.6,99.9,7570,2026-03-11 8:49
6,강남본부,54,173,31.2,5.3,94.6,99.9,5108,2026-03-11 10:25
7,강원본부,39,101,38.6,5.4,94.1,99.5,3669,2026-03-11 9:33
8,경영총괄,2,27,7.4,5.1,85,90.1,170,2026-03-11 7:34
